name,location,reviews,facilities,price,size,rules,stars
Florena Villas,"Spanochori, Spanokhórion, 31080, Greece",9.5Exceptional 15 reviews,"['Outdoor swimming pool', 'Airport shuttle', 'Free WiFi', 'Non-smoking rooms', 'Free parking', 'Family rooms']","<span class=""bui-u-sr-only"">
Original price
€ 1,283
Current price
€ 1,181
</span>",120 m²,"['Smoking\n\nSmoking is not allowed.', 'Pets\n\n\nPets are not allowed.']",4
Sun Gazing Villas,"Drymon, Lefkada, Drymon, 31100, Greece",9.6Exceptional 123 reviews,"['Free parking', 'Free WiFi', 'Non-smoking rooms', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
RUB 49,703
</span>",40 m²,['Pets\n\n\nFree!\nPets are allowed. No extra charges.'],3
Isalos,"Vasiliki, Vasiliki, 31082, Greece",8.8Excellent 177 reviews,"['Non-smoking rooms', 'Free WiFi', 'Free parking']","<span class=""bui-u-sr-only"">
Price
€ 403
</span>",15 m²,"['Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 11:00 PM and 9:00 AM.', 'Pets\n\n\nPets are not allowed.']",3
Amarandos Studios with swimming pool by Imagine Lefkada,"Tsoukalades, Tsoukalades, 31100, Greece",,"['Outdoor swimming pool', 'Free parking', 'Free WiFi', 'Non-smoking rooms', 'Family rooms']","<span class=""bui-u-sr-only"">
Original price
£309
Current price
£285
</span>",248 feet²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",
Aiolos Rooms,"Tsoukalades, Tsoukalades, 31100, Greece",9.1Wonderful 33 reviews,"['Free parking', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
RUB 19,184
</span>",32 m²,"['Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",3
Artblue Villas,"Tsoukaladhes , Tsoukalades, 31100, Greece",9.8Exceptional 71 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Free WiFi', 'Airport shuttle', 'Room service', 'Family rooms']","<span class=""bui-u-sr-only"">
Original price
CAD 6,597
Current price
CAD 4,618
</span>",45 m²,"['Smoking\n\nSmoking is not allowed.', 'Pets\n\n\nFree!\nPets are allowed on request. No extra charges.']",4
Apartments Avra,"Kaligoni, Lefkada, 31100, Greece",9.6Exceptional 324 reviews,"['Outdoor swimming pool', 'Free WiFi', 'Airport shuttle', 'Free parking', 'Family rooms', 'Bar']","<span class=""bui-u-sr-only"">
Price
€ 750
</span>",40 m²,['Pets\n\n\nPets are allowed on request. Charges may apply.'],3
Christianna Studios,"Nikiana, Nikiana, 31100, Greece",9.4Wonderful 54 reviews,"['Non-smoking rooms', 'Free parking', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
$483
</span>",269 feet²,"['Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 2:00 PM and 5:00 PM.', 'Pets\n\n\nPets are not allowed.']",
Kondilw Rooms,"Kalamitsi Lefkados, Kalamitsi, 31080, Greece",8.6Excellent 104 reviews,"['Free WiFi', 'Free parking', 'Room service', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
1,345 zł
</span>",,"['Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 12:00 AM and 7:00 AM.', 'Pets\n\n\nFree!\nPets are allowed. No extra charges.']",
Vliho Bay Boutique Hotel,"Yeni, Yenion, 31100, Greece",9.0Wonderful 94 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Room service', 'Restaurant', 'Free WiFi', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Private beach area', 'Wonderful Breakfast']","<span class=""bui-u-sr-only"">
Price
$912
</span>",215 feet²,['Pets\n\n\nPets are allowed on request. Charges may apply.'],
