name,location,reviews,facilities,price,size,rules,stars
Thermes Luxury Villas And Spa,"Main Street, Megalochori, 84700, Greece",9.3Wonderful 137 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Spa', 'Free parking', 'Room service', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Original price
MXN 49,036
Current price
MXN 45,113
</span>",80 m²,['Pets\n\n\nFree!\nPets are allowed on request. No extra charges.'],4
Plastiras Rooms,"Fira Katoikies, Fira, 84700, Greece",9.0Wonderful 496 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Free WiFi', 'Family rooms', 'Terrace', 'BBQ facilities']","<span class=""bui-u-sr-only"">
Original price
$1,180
Current price
$1,121
</span>",215 feet²,"['Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 10:00 PM and 8:00 AM.', 'Pets\n\n\nPets are not allowed.']",
Costa Grand Resort & Spa,"Kamari Beach, Kamari, 84700, Greece",8.9Excellent 607 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Spa', 'Fitness center', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Beachfront', 'Private beach area', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Original price
CAD 2,350
Current price
CAD 2,198
</span>",22 m²,['Pets\n\n\nPets are not allowed.'],5
Karpimo Suites,"Exo Gonia, Santorini, Éxo Goniá, 84700, Greece",9.5Exceptional 8 reviews,"['Outdoor swimming pool', 'Free WiFi', 'Airport shuttle', 'Non-smoking rooms', 'Free parking']","<span class=""bui-u-sr-only"">
Price
€ 3,800
</span>",90 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 12:00 AM and 8:00 AM.', 'Pets\n\n\nPets are allowed on request. Charges may apply.']",4
Canvas Suites,"Oia, Oia, 84702, Greece",9.4Wonderful 539 reviews,"['Non-smoking rooms', 'Airport shuttle', 'Free parking', 'Restaurant', 'Free WiFi', 'Family rooms', 'Terrace', 'Exceptional Breakfast']","<span class=""bui-u-sr-only"">
Original price
SAR 18,465
Current price
SAR 16,988
</span>",30 m²,"['Smoking\n\nSmoking is not allowed.', 'Pets\n\n\nPets are not allowed.']",4
Ambeli Sunset Villas,"Eparchiaki Odos Akrotiriou, Megalochori, 84700, Greece",9.6Exceptional 117 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Free WiFi', 'Free parking', 'Family rooms', 'Exceptional Breakfast']","<span class=""bui-u-sr-only"">
Price
$5,878
</span>",1938 feet²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 10:00 PM and 8:00 AM.', 'Pets\n\n\nPets are not allowed.']",
NAMA Beach house,"Monolithos, Monolithos, 84700, Greece",7.9Good 37 reviews,"['Non-smoking rooms', 'Airport shuttle', 'Free parking', 'Room service', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
CAD 2,355
</span>",85 m²,"['Smoking\n\nSmoking is not allowed.', 'Pets\n\n\nPets are not allowed.']",3
Senses Luxury Houses,"Agiou Athanasiou 2, Fira, 84700, Greece",9.1Wonderful 22 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Free parking', 'Room service', 'Free WiFi', 'Family rooms', 'Terrace', 'BBQ facilities', 'Breakfast']","<span class=""bui-u-sr-only"">
Price
RUB 470,871
</span>",55 m²,['Pets\n\n\nPets are not allowed.'],4
Villa Leon,"Vourvoulos Santorini, Vourvoulos, 84700, Greece",9.8Exceptional 20 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle (free)', 'Free WiFi', 'Room service', 'Spa', 'Breakfast']","<span class=""bui-u-sr-only"">
Price
$8,202
</span>",2153 feet²,['Pets\n\n\nFree!\nPets are allowed on request. No extra charges.'],
Kastro Oia Houses,"Oia, Oia, 84702, Greece",9.1Wonderful 271 reviews,"['Airport shuttle', 'Non-smoking rooms', 'Free WiFi', 'Restaurant', 'Room service', 'Free parking', 'Terrace', 'Bar']","<span class=""bui-u-sr-only"">
Price
£2,165
</span>",646 feet²,['Pets\n\n\nPets are not allowed.'],4
Este Luxury Suites,"Fira Santorini, Fira, 84700, Greece",9.5Exceptional 199 reviews,"['Non-smoking rooms', 'Airport shuttle', 'Free parking', 'Room service', 'Free WiFi', 'Family rooms', 'Terrace', 'Tea/Coffee Maker in All Rooms']","<span class=""bui-u-sr-only"">
Price
RUB 166,636
</span>",40 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",4
OIA UNIQUE HOMES by K&K,"Sideras, Oia, 84702, Greece",9.0Wonderful 142 reviews,"['Non-smoking rooms', 'Airport shuttle', 'Free WiFi', 'Terrace']","<span class=""bui-u-sr-only"">
Original price
MXN 66,849
Current price
MXN 53,479
</span>",38 m²,"['Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are allowed on request. Charges may apply.']",4
Aristos Life Luxury Cave Villas,"Ag. Nikolaos Lotza, Oia, 84700, Greece",9.7Exceptional 27 reviews,"['Non-smoking rooms', 'Airport shuttle (free)', 'Free parking', 'Room service', 'Free WiFi', 'Terrace', 'Breakfast']","<span class=""bui-u-sr-only"">
Price
CAD 9,850
</span>",45 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",4
Azalea Houses,"Finikia Oia, Oia, 84702, Greece",9.6Exceptional 78 reviews,"['Non-smoking rooms', 'Airport shuttle', 'Free parking', 'Free WiFi', 'Family rooms', 'Terrace']","<span class=""bui-u-sr-only"">
Original price
CAD 2,401
Current price
CAD 2,209
</span>",60 m²,['Pets\n\n\nPets are not allowed.'],4
