name,location,reviews,facilities,price,size,rules,stars
Thalia deco City & Beach Hotel,"El. Venizelou 176, Limenas Hersonissou, Hersonissos, 70014, Greece",9.2Wonderful 338 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Fitness center', 'Restaurant', 'Free parking', 'Free WiFi', 'Family rooms', 'Bar', 'Exceptional Breakfast']","<span class=""bui-u-sr-only"">
Original price
$614
Current price
$491
</span>",172 feet²,['Pets\n\n\nFree!\nPets are allowed on request. No extra charges.'],
Mirtilos Studios & Apartments,"Kissamos, Kissamos, 73400, Greece",8.7Excellent 420 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Free WiFi', 'Facilities for disabled guests', 'Free parking', 'Family rooms', 'Bar', 'Good Breakfast']","<span class=""bui-u-sr-only"">
Price
€ 927
</span>",30 m²,['Pets\n\n\nPets are not allowed.'],3
Porofarago,"Ag. Eirini, Sougia, Epanochori, 73100, Greece",8.3Very Good 94 reviews,"['Free parking', 'Free WiFi', 'Room service', 'Restaurant', 'Family rooms', 'Bar']","<span class=""bui-u-sr-only"">
Price
MXN 5,625
</span>",18 m²,['Pets\n\n\nPets are not allowed.'],3
Lygaria Beach Apts,"Αγια Πελαγια, Ligaria, 71500, Greece",8.6Excellent 21 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Free parking', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Original price
CAD 1,771
Current price
CAD 1,304
</span>",52 m²,"['Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 2:00 PM and 5:00 PM.', 'Pets\n\n\nPets are not allowed.']",3
Bali Beach and Sofia Village,"Main Street, Bali, 74057, Greece",8.0Very Good 857 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Room service', 'Restaurant', 'Beachfront', 'Free WiFi', 'Family rooms', 'Bar', 'Private beach area']","<span class=""bui-u-sr-only"">
Price
$1,223
</span>",194 feet²,"['Smoking\n\nSmoking is not allowed.', 'Pets\n\n\nFree!\nPets are allowed on request. No extra charges.']",
Blue Bay Lifestyle - ex Bali Blue Bay,"Bali, Bali, 74057, Greece",9.6Exceptional 289 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Free parking', 'Free WiFi', 'Beachfront', 'Family rooms', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Price
CAD 1,722
</span>",25 m²,['Pets\n\n\nPets are not allowed.'],3
Diamond Star Hotel,"Φαλάσαρνα, Χανιά Φαλάσαρνα, Χανιά, Falasarna, 73400, Greece",9.1Wonderful 51 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free WiFi', 'Free parking', 'Facilities for disabled guests', 'Family rooms', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Original price
€ 1,406
Current price
€ 1,196
</span>",35 m²,['Pets\n\n\nPets are not allowed.'],3
Talos Hotel Apartments,"Main Street, Kato Daratso, 73100, Greece",8.4Very Good 320 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Room service', 'Restaurant', 'Beachfront', 'Free WiFi', 'Bar', 'Excellent Breakfast']","<span class=""bui-u-sr-only"">
Price
$965
</span>",269 feet²,"['Quiet hours\n\n\nGuests need be quiet between 12:00 AM and 8:00 AM.', 'Pets\n\n\nPets are allowed. Charges may apply.']",
Cosy Country Villa,"Συκια Σητειας μονοκατοικια, Pappayiannádhes, 72300, Greece",8.4Very Good 8 reviews,"['Non-smoking rooms', 'Free WiFi', 'Free parking', 'Family rooms']","<span class=""bui-u-sr-only"">
Original price
€ 917
Current price
€ 759
</span>",100 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",3
Ferma Solaris Apartments,"Ferma, Agia Fotia, 72200, Greece",9.6Exceptional 54 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Room service', 'Facilities for disabled guests', 'Beachfront', 'Free WiFi', 'Family rooms', 'Private beach area']","<span class=""bui-u-sr-only"">
Price
$1,287
</span>",700 feet²,"['Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",
Vanisko Hotel,"7, Andrea Papandreou Street, Amoudara Herakliou, 71414, Greece",7.8Good 281 reviews,"['2 swimming pools', 'Free parking', 'Free WiFi', 'Family rooms', 'Bar', 'Good Breakfast']","<span class=""bui-u-sr-only"">
Price
$917
</span>",215 feet²,['Pets\n\n\nPets are not allowed.'],
